open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,timestamp,symbol
1762592400000,102450.1,102563.9,102197.2,102354.6,28444.826,1762595999999,2912606638.00440,9932,11579.231,1185962386.10500,0,2025-11-08 09:00:00,BTCUSDT
1762596000000,102354.6,102535.5,102261.5,102482.8,15386.384,1762599599999,1576013293.37520,7249,9999.533,1024446239.73360,0,2025-11-08 10:00:00,BTCUSDT
1762599600000,102482.8,102576.7,101707.8,101824.1,53590.454,1762603199999,5473121162.43870,12897,14766.633,1507248566.71310,0,2025-11-08 11:00:00,BTCUSDT
1762603200000,101830.0,102027.2,101701.7,102023.2,34767.691,1762606799999,3542321968.19760,13327,18150.375,1849863894.60350,0,2025-11-08 12:00:00,BTCUSDT
1762606800000,101966.0,102142.9,101699.8,101758.8,45817.649,1762610399999,4670385939.16130,17372,20176.540,2057806019.30440,0,2025-11-08 13:00:00,BTCUSDT
1762610400000,101758.9,102019.8,101443.3,101800.0,38083.49,1762613999999,3875796030.75370,13152,22072.798,2246854503.99020,0,2025-11-08 14:00:00,BTCUSDT
1762614000000,101800.0,101911.6,101479.8,101623.3,33426.044,1762617599999,3398711490.08780,11022,12016.411,1221992861.75780,0,2025-11-08 15:00:00,BTCUSDT
1762617600000,101623.3,101903.0,101482.6,101805.7,39498.241,1762621199999,4017753479.89850,10951,20884.592,2125461213.29850,0,2025-11-08 16:00:00,BTCUSDT
1762621200000,101807.3,101945.1,101549.3,101945.0,18022.988,1762624799999,1834067632.28750,8110,10172.558,1035601797.03280,0,2025-11-08 17:00:00,BTCUSDT
1762624800000,101945.1,102168.3,101793.1,102091.7,24250.959,1762628399999,2473086375.21650,10621,16854.320,1719478198.38720,0,2025-11-08 18:00:00,BTCUSDT
1762628400000,102091.7,102168.3,101486.7,101939.4,38074.808,1762631999999,3875421885.24660,14054,15186.363,1545964623.73420,0,2025-11-08 19:00:00,BTCUSDT
1762632000000,101939.4,102090.0,101908.3,102024.3,9028.554,1762635599999,920930057.66720,10357,7334.450,748135818.34880,0,2025-11-08 20:00:00,BTCUSDT
1762635600000,102024.4,102312.1,101984.4,102224.1,17136.539,1762639199999,1750841386.42420,9835,10922.321,1116031504.23430,0,2025-11-08 21:00:00,BTCUSDT
1762639200000,102258.3,102378.0,102124.8,102378.0,26839.11,1762642799999,2743373121.86310,9214,8926.361,912910568.85570,0,2025-11-08 22:00:00,BTCUSDT
1762642800000,102360.0,102435.0,102235.4,102269.2,8398.296,1762646399999,859070677.46040,4950,201.677,20647695.04960,0,2025-11-08 23:00:00,BTCUSDT
1762646400000,102243.4,102281.2,101615.3,101742.5,39528.147,1762649999999,4026332322.82480,11460,11552.495,1176619301.96770,0,2025-11-09 00:00:00,BTCUSDT
1762650000000,101742.5,102065.6,101646.8,101995.5,39749.606,1762653599999,4048911522.99530,11557,25536.868,2602151360.80520,0,2025-11-09 01:00:00,BTCUSDT
1762653600000,101995.4,102053.8,101535.2,101589.7,27737.983,1762657199999,2823370339.24420,14615,9323.283,949576118.53280,0,2025-11-09 02:00:00,BTCUSDT
1762657200000,101600.1,101770.7,101442.9,101640.0,33522.476,1762660799999,3406464597.48010,9878,18831.782,1914325028.46890,0,2025-11-09 03:00:00,BTCUSDT
1762660800000,101640.0,102073.4,101619.2,101664.0,25416.78,1762664399999,2588494240.18590,9348,14244.849,1451461626.16940,0,2025-11-09 04:00:00,BTCUSDT
1762664400000,101719.0,101943.6,101628.8,101873.5,24958.429,1762667999999,2540530668.45850,13046,13826.414,1407691922.44820,0,2025-11-09 05:00:00,BTCUSDT
1762668000000,101862.4,101904.1,101657.5,101698.9,15584.005,1762671599999,1586873761.88280,10052,6929.280,705925418.35310,0,2025-11-09 06:00:00,BTCUSDT
1762671600000,101698.9,101896.3,101643.1,101845.0,15800.501,1762675199999,1608657290.62930,10225,9948.961,1013059582.49920,0,2025-11-09 07:00:00,BTCUSDT
1762675200000,101845.0,101986.0,101781.9,101925.7,27593.679,1762678799999,2811349655.28380,9838,12581.456,1282277052.27120,0,2025-11-09 08:00:00,BTCUSDT
1762678800000,101926.7,102074.0,101591.1,101602.3,27730.133,1762682399999,2825411569.45900,10321,8311.597,847820537.73030,0,2025-11-09 09:00:00,BTCUSDT
1762682400000,101602.3,101868.7,101461.6,101821.6,30982.651,1762685999999,3149865660.69140,10071,20859.190,2121250389.31250,0,2025-11-09 10:00:00,BTCUSDT
1762686000000,101821.6,102236.8,101757.3,102165.1,29908.322,1762689599999,3053068975.02360,8738,24479.314,2498764979.23960,0,2025-11-09 11:00:00,BTCUSDT
1762689600000,102228.2,102365.1,102004.0,102038.0,27844.361,1762693199999,2844702751.00500,8636,10290.738,1052105359.14960,0,2025-11-09 12:00:00,BTCUSDT
1762693200000,102004.0,103777.0,102004.0,102886.4,40513.17,1762696799999,4154936836.53170,11674,34493.245,3536697657.42710,0,2025-11-09 13:00:00,BTCUSDT
1762696800000,102889.9,103960.0,102744.0,102916.9,100419.688,1762700399999,10370409593.24720,19166,50584.730,5226595202.64070,0,2025-11-09 14:00:00,BTCUSDT
1762700400000,102923.2,104000.0,102916.9,103710.0,51979.463,1762703999999,5382781845.93010,12474,36632.051,3793198131.43780,0,2025-11-09 15:00:00,BTCUSDT
1762704000000,103663.9,104000.0,102959.7,103814.8,57759.119,1762707599999,5979961596.72400,12918,28624.928,2964677678.35080,0,2025-11-09 16:00:00,BTCUSDT
1762707600000,103814.8,104025.6,103180.0,103598.7,44187.935,1762711199999,4580328990.70550,11486,18690.537,1937796147.32900,0,2025-11-09 17:00:00,BTCUSDT
1762711200000,103598.7,104490.1,103200.0,104479.9,46072.18,1762714799999,4785529470.69250,10887,33778.652,3511015741.76130,0,2025-11-09 18:00:00,BTCUSDT
1762714800000,104485.9,104748.8,103660.3,104748.8,47934.472,1762718399999,5007623807.12990,12423,24656.330,2577349182.79310,0,2025-11-09 19:00:00,BTCUSDT
1762718400000,104748.8,104950.1,104402.5,104577.4,36843.785,1762721999999,3855501068.57190,9153,16989.947,1778378261.91850,0,2025-11-09 20:00:00,BTCUSDT
1762722000000,104577.4,104758.7,104264.4,104483.5,35741.002,1762725599999,3734828239.53810,9065,14520.332,1518094119.12570,0,2025-11-09 21:00:00,BTCUSDT
1762725600000,104449.1,104754.0,103659.6,104662.2,60818.688,1762729199999,6350387569.74360,13012,36864.517,3850274605.28730,0,2025-11-09 22:00:00,BTCUSDT
1762729200000,104665.0,105396.6,104494.5,104670.6,64276.929,1762732799999,6740165881.14530,13215,29764.449,3122249034.84270,0,2025-11-09 23:00:00,BTCUSDT
1762732800000,104687.3,106430.1,104245.3,106268.9,85937.021,1762736399999,9051661774.23250,15169,65475.547,6901683044.59210,0,2025-11-10 00:00:00,BTCUSDT
1762736400000,106268.9,106615.6,105693.0,105693.0,81557.381,1762739999999,8654731144.27100,16841,35384.204,3756232032.22570,0,2025-11-10 01:00:00,BTCUSDT
1762740000000,105693.0,105983.9,105567.5,105965.9,47688.943,1762743599999,5044006247.55290,12601,30843.285,3263092925.40320,0,2025-11-10 02:00:00,BTCUSDT
1762743600000,105907.0,106209.3,105809.0,105971.8,43889.368,1762747199999,4652633262.37770,12785,21774.098,2309054686.36640,0,2025-11-10 03:00:00,BTCUSDT
1762747200000,105990.6,106265.9,105830.7,106120.1,29246.021,1762750799999,3101790336.17090,9147,18122.553,1922757915.56660,0,2025-11-10 04:00:00,BTCUSDT
1762750800000,106169.5,106424.6,105964.9,106032.7,38734.727,1762754399999,4112799258.27600,11634,17712.425,1881666532.00270,0,2025-11-10 05:00:00,BTCUSDT
