open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,timestamp,symbol
1724194800000,0.012242,0.012242,0.012242,0.012242,0.0,1724198399999,0,0,0,0,0,2024-08-20 23:00:00,MEMEUSDT
1724198400000,0.012242,0.012242,0.012242,0.012242,0.0,1724201999999,0,0,0,0,0,2024-08-21 00:00:00,MEMEUSDT
1724202000000,0.012242,0.012242,0.012242,0.012242,0.0,1724205599999,0,0,0,0,0,2024-08-21 01:00:00,MEMEUSDT
1724205600000,0.012242,0.012242,0.012242,0.012242,0.0,1724209199999,0,0,0,0,0,2024-08-21 02:00:00,MEMEUSDT
1724209200000,0.012242,0.012242,0.012242,0.012242,0.0,1724212799999,0,0,0,0,0,2024-08-21 03:00:00,MEMEUSDT
1724212800000,0.012242,0.012242,0.012242,0.012242,0.0,1724216399999,0,0,0,0,0,2024-08-21 04:00:00,MEMEUSDT
1724216400000,0.012242,0.012242,0.012242,0.012242,0.0,1724219999999,0,0,0,0,0,2024-08-21 05:00:00,MEMEUSDT
1724220000000,0.012242,0.012242,0.012242,0.012242,0.0,1724223599999,0,0,0,0,0,2024-08-21 06:00:00,MEMEUSDT
1724223600000,0.012242,0.012242,0.012242,0.012242,0.0,1724227199999,0,0,0,0,0,2024-08-21 07:00:00,MEMEUSDT
1724227200000,0.012242,0.012242,0.012242,0.012242,0.0,1724230799999,0,0,0,0,0,2024-08-21 08:00:00,MEMEUSDT
1724230800000,0.012242,0.012242,0.012242,0.012242,0.0,1724234399999,0,0,0,0,0,2024-08-21 09:00:00,MEMEUSDT
1724234400000,0.012242,0.012242,0.012242,0.012242,0.0,1724237999999,0,0,0,0,0,2024-08-21 10:00:00,MEMEUSDT
1724238000000,0.012242,0.012242,0.012242,0.012242,0.0,1724241599999,0,0,0,0,0,2024-08-21 11:00:00,MEMEUSDT
1724241600000,0.012242,0.012242,0.012242,0.012242,0.0,1724245199999,0,0,0,0,0,2024-08-21 12:00:00,MEMEUSDT
1724245200000,0.012242,0.012242,0.012242,0.012242,0.0,1724248799999,0,0,0,0,0,2024-08-21 13:00:00,MEMEUSDT
1724248800000,0.012242,0.012242,0.012242,0.012242,0.0,1724252399999,0,0,0,0,0,2024-08-21 14:00:00,MEMEUSDT
1724252400000,0.012242,0.012242,0.012242,0.012242,0.0,1724255999999,0,0,0,0,0,2024-08-21 15:00:00,MEMEUSDT
1724256000000,0.012242,0.012242,0.012242,0.012242,0.0,1724259599999,0,0,0,0,0,2024-08-21 16:00:00,MEMEUSDT
1724259600000,0.012242,0.012242,0.012242,0.012242,0.0,1724263199999,0,0,0,0,0,2024-08-21 17:00:00,MEMEUSDT
1724263200000,0.012242,0.012242,0.012242,0.012242,0.0,1724266799999,0,0,0,0,0,2024-08-21 18:00:00,MEMEUSDT
1724266800000,0.012242,0.012242,0.012242,0.012242,0.0,1724270399999,0,0,0,0,0,2024-08-21 19:00:00,MEMEUSDT
1724270400000,0.012242,0.012242,0.012242,0.012242,0.0,1724273999999,0,0,0,0,0,2024-08-21 20:00:00,MEMEUSDT
1724274000000,0.012242,0.012242,0.012242,0.012242,0.0,1724277599999,0,0,0,0,0,2024-08-21 21:00:00,MEMEUSDT
1724277600000,0.012242,0.012242,0.012242,0.012242,0.0,1724281199999,0,0,0,0,0,2024-08-21 22:00:00,MEMEUSDT
1724281200000,0.012242,0.012242,0.012242,0.012242,0.0,1724284799999,0,0,0,0,0,2024-08-21 23:00:00,MEMEUSDT
1724284800000,0.012242,0.012242,0.012242,0.012242,0.0,1724288399999,0,0,0,0,0,2024-08-22 00:00:00,MEMEUSDT
1724288400000,0.012242,0.012242,0.012242,0.012242,0.0,1724291999999,0,0,0,0,0,2024-08-22 01:00:00,MEMEUSDT
1724292000000,0.012242,0.012242,0.012242,0.012242,0.0,1724295599999,0,0,0,0,0,2024-08-22 02:00:00,MEMEUSDT
1724295600000,0.012242,0.012242,0.012242,0.012242,0.0,1724299199999,0,0,0,0,0,2024-08-22 03:00:00,MEMEUSDT
1724299200000,0.012242,0.012242,0.012242,0.012242,0.0,1724302799999,0,0,0,0,0,2024-08-22 04:00:00,MEMEUSDT
1724302800000,0.012489,0.012489,0.012489,0.012489,10538.0,1724306399999,131.6090820,18,10538,131.6090820,0,2024-08-22 05:00:00,MEMEUSDT
1724306400000,0.012489,0.012489,0.012489,0.012489,0.0,1724309999999,0,0,0,0,0,2024-08-22 06:00:00,MEMEUSDT
