symbol,start_time,end_time,duration_hours,price_change_pct,max_price,min_price,volume_spike
MEMEUSDT,2025-08-19T17:00:00,2025-08-20T17:00:00,24.00,46.46,0.00339000,0.00200000,2.31
MEMEUSDT,2025-08-19T19:00:00,2025-08-20T19:00:00,24.00,42.69,0.00339000,0.00200000,3.43
MEMEUSDT,2025-08-19T20:00:00,2025-08-20T20:00:00,24.00,40.59,0.00339000,0.00200000,2.48
MEMEUSDT,2025-08-21T22:00:00,2025-08-22T22:00:00,24.00,45.35,0.00435100,0.00205600,4.05
MEMEUSDT,2025-08-21T23:00:00,2025-08-22T23:00:00,24.00,59.63,0.00493900,0.00205600,3.50
MEMEUSDT,2025-08-22T00:00:00,2025-08-23T00:00:00,24.00,50.50,0.00493900,0.00205600,4.58
