<<<<<<< HEAD
open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,timestamp,symbol
1762589700000,102320.9,102461.8,102136.0,102412.2,12818.294,1762590599999,1311530025.83750,3398,7820.820,800518234.61470,0,2025-11-08 08:15:00,BTCUSDT
1762590600000,102412.1,102626.7,102383.8,102586.4,5362.942,1762591499999,549825607.39750,2137,5257.491,539026068.88410,0,2025-11-08 08:30:00,BTCUSDT
1762591500000,102586.4,102626.7,102431.6,102450.1,5465.701,1762592399999,560118321.24100,2193,48.475,4969625.64780,0,2025-11-08 08:45:00,BTCUSDT
1762592400000,102450.1,102459.6,102203.5,102257.3,4671.617,1762593299999,477971218.35240,1822,45.725,4676552.85410,0,2025-11-08 09:00:00,BTCUSDT
1762593300000,102232.4,102462.9,102197.2,102450.0,6480.956,1762594199999,663306946.56290,2498,6418.558,656920365.41810,0,2025-11-08 09:15:00,BTCUSDT
1762594200000,102442.1,102563.9,102414.3,102525.8,5397.78,1762595099999,553368525.92300,2241,5062.654,519010179.36600,0,2025-11-08 09:30:00,BTCUSDT
1762595100000,102563.9,102563.9,102277.9,102354.6,11894.473,1762595999999,1217959947.16610,3371,52.294,5355288.46680,0,2025-11-08 09:45:00,BTCUSDT
1762596000000,102354.6,102364.5,102261.5,102350.6,1896.218,1762596899999,193934100.18210,1416,97.183,9942751.82690,0,2025-11-08 10:00:00,BTCUSDT
1762596900000,102350.6,102482.6,102291.2,102482.6,5796.914,1762597799999,593730525.22920,1932,5764.728,590435880.39270,0,2025-11-08 10:15:00,BTCUSDT
1762597800000,102482.6,102526.0,102402.2,102402.2,6150.795,1762598699999,630252878.27260,2468,3030.351,310571082.83280,0,2025-11-08 10:30:00,BTCUSDT
1762598700000,102431.9,102535.5,102402.2,102482.8,1542.457,1762599599999,158095789.69130,1433,1107.271,113496524.68120,0,2025-11-08 10:45:00,BTCUSDT
1762599600000,102482.8,102576.7,102400.6,102576.7,7226.887,1762600499999,740697977.19280,2650,3518.662,360791117.64160,0,2025-11-08 11:00:00,BTCUSDT
1762600500000,102576.7,102576.7,102429.9,102496.0,3938.826,1762601399999,403647483.13450,1765,80.105,8212379.93200,0,2025-11-08 11:15:00,BTCUSDT
1762601400000,102496.0,102518.8,101922.7,101925.0,21402.476,1762602299999,2187077747.77750,4300,748.127,76399893.40320,0,2025-11-08 11:30:00,BTCUSDT
1762602300000,101925.0,102041.7,101707.8,101824.1,21022.265,1762603199999,2141697954.33390,4182,10419.739,1061845175.73630,0,2025-11-08 11:45:00,BTCUSDT
1762603200000,101830.0,101998.6,101701.7,101701.7,12916.085,1762604099999,1315499038.88340,3233,3213.977,327625257.03870,0,2025-11-08 12:00:00,BTCUSDT
1762604100000,101701.7,101989.1,101701.7,101989.1,10890.093,1762604999999,1109406773.65470,4431,9815.603,1000025554.43140,0,2025-11-08 12:15:00,BTCUSDT
1762605000000,101989.1,102027.2,101872.2,101872.2,5338.555,1762605899999,544313311.85070,2010,1793.072,182899814.74870,0,2025-11-08 12:30:00,BTCUSDT
1762605900000,101872.2,102023.2,101841.8,102023.2,5622.958,1762606799999,573102843.80880,3653,3327.723,339313268.38470,0,2025-11-08 12:45:00,BTCUSDT
1762606800000,101966.0,102038.0,101699.8,101935.6,16960.316,1762607699999,1727750265.27260,6234,9130.504,930530184.24070,0,2025-11-08 13:00:00,BTCUSDT
1762607700000,101935.6,102108.3,101827.2,102108.3,8154.914,1762608599999,831854329.25900,3227,5632.382,574705301.56730,0,2025-11-08 13:15:00,BTCUSDT
