open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,timestamp,symbol
1727737200000,2.3372,2.3372,2.3372,2.3372,0.0,1727740799999,0,0,0,0,0,2024-09-30 23:00:00,WIFUSDT
1727740800000,2.3372,2.3372,2.3372,2.3372,0.0,1727744399999,0,0,0,0,0,2024-10-01 00:00:00,WIFUSDT
1727744400000,2.3372,2.3372,2.3372,2.3372,3.9,1727747999999,9.11508000,1,0,0,0,2024-10-01 01:00:00,WIFUSDT
1727748000000,2.3372,2.3372,2.3372,2.3372,17.4,1727751599999,40.66728000,2,0,0,0,2024-10-01 02:00:00,WIFUSDT
1727751600000,2.3372,2.3372,2.3372,2.3372,0.0,1727755199999,0,0,0,0,0,2024-10-01 03:00:00,WIFUSDT
1727755200000,2.3372,2.3372,2.3372,2.3372,0.0,1727758799999,0,0,0,0,0,2024-10-01 04:00:00,WIFUSDT
1727758800000,2.3372,2.3372,2.3372,2.3372,0.0,1727762399999,0,0,0,0,0,2024-10-01 05:00:00,WIFUSDT
1727762400000,2.3372,2.3372,2.3372,2.3372,0.0,1727765999999,0,0,0,0,0,2024-10-01 06:00:00,WIFUSDT
1727766000000,2.3372,2.3372,2.3372,2.3372,101.0,1727769599999,236.05720000,1,0,0,0,2024-10-01 07:00:00,WIFUSDT
1727769600000,2.3372,2.3372,2.3372,2.3372,85.5,1727773199999,199.83060000,1,0,0,0,2024-10-01 08:00:00,WIFUSDT
1727773200000,2.3372,2.3372,2.3372,2.3372,0.0,1727776799999,0,0,0,0,0,2024-10-01 09:00:00,WIFUSDT
1727776800000,2.3372,2.3372,2.3372,2.3372,0.0,1727780399999,0,0,0,0,0,2024-10-01 10:00:00,WIFUSDT
1727780400000,2.3372,2.3372,2.3372,2.3372,42.7,1727783999999,99.79844000,1,0,0,0,2024-10-01 11:00:00,WIFUSDT
1727784000000,2.3372,2.3372,2.3372,2.3372,2543.3,1727787599999,5944.20076000,1,0,0,0,2024-10-01 12:00:00,WIFUSDT
1727787600000,2.3372,2.3372,2.3372,2.3372,50.1,1727791199999,117.09372000,1,0,0,0,2024-10-01 13:00:00,WIFUSDT
1727791200000,2.3372,2.3372,2.3372,2.3372,0.0,1727794799999,0,0,0,0,0,2024-10-01 14:00:00,WIFUSDT
1727794800000,2.3372,2.3372,2.3372,2.3372,1152.3,1727798399999,2693.15556000,3,0,0,0,2024-10-01 15:00:00,WIFUSDT
1727798400000,2.3372,2.3372,2.3372,2.3372,0.0,1727801999999,0,0,0,0,0,2024-10-01 16:00:00,WIFUSDT
1727802000000,2.5,2.5,2.5,2.5,40.0,1727805599999,100.00000000,1,0,0,0,2024-10-01 17:00:00,WIFUSDT
1727805600000,2.5,2.5,2.5,2.5,22.9,1727809199999,57.25000000,2,22.9,57.25000000,0,2024-10-01 18:00:00,WIFUSDT
1727809200000,2.5,2.5,2.5,2.5,0.0,1727812799999,0,0,0,0,0,2024-10-01 19:00:00,WIFUSDT
1727812800000,2.32,2.32,2.32,2.32,43.4,1727816399999,100.68800000,1,43.4,100.68800000,0,2024-10-01 20:00:00,WIFUSDT
1727816400000,2.32,2.32,2.32,2.32,0.0,1727819999999,0,0,0,0,0,2024-10-01 21:00:00,WIFUSDT
1727820000000,2.32,2.32,2.32,2.32,0.0,1727823599999,0,0,0,0,0,2024-10-01 22:00:00,WIFUSDT
1727823600000,2.32,2.32,2.32,2.32,0.0,1727827199999,0,0,0,0,0,2024-10-01 23:00:00,WIFUSDT
1727827200000,2.32,2.32,2.32,2.32,691.7,1727830799999,1604.74400000,5,691.7,1604.74400000,0,2024-10-02 00:00:00,WIFUSDT
1727830800000,2.32,2.32,2.32,2.32,126.9,1727834399999,294.40800000,3,126.9,294.40800000,0,2024-10-02 01:00:00,WIFUSDT
1727834400000,2.32,2.32,2.32,2.32,0.0,1727837999999,0,0,0,0,0,2024-10-02 02:00:00,WIFUSDT
1727838000000,2.32,2.32,2.32,2.32,0.0,1727841599999,0,0,0,0,0,2024-10-02 03:00:00,WIFUSDT
1727841600000,2.32,2.32,2.32,2.32,0.0,1727845199999,0,0,0,0,0,2024-10-02 04:00:00,WIFUSDT
1727845200000,2.32,2.32,2.32,2.32,0.0,1727848799999,0,0,0,0,0,2024-10-02 05:00:00,WIFUSDT
1727848800000,2.32,2.32,2.32,2.32,0.0,1727852399999,0,0,0,0,0,2024-10-02 06:00:00,WIFUSDT
1727852400000,2.32,2.32,2.32,2.32,0.0,1727855999999,0,0,0,0,0,2024-10-02 07:00:00,WIFUSDT
1727856000000,2.32,2.32,2.32,2.32,0.0,1727859599999,0,0,0,0,0,2024-10-02 08:00:00,WIFUSDT
1727859600000,2.32,2.32,2.32,2.32,0.0,1727863199999,0,0,0,0,0,2024-10-02 09:00:00,WIFUSDT
1727863200000,2.37,2.37,2.37,2.37,26.5,1727866799999,62.80500000,1,0,0,0,2024-10-02 10:00:00,WIFUSDT
1727866800000,2.37,2.37,2.37,2.37,0.0,1727870399999,0,0,0,0,0,2024-10-02 11:00:00,WIFUSDT
1727870400000,2.37,2.37,2.37,2.37,0.0,1727873999999,0,0,0,0,0,2024-10-02 12:00:00,WIFUSDT
1727874000000,2.37,2.37,2.37,2.37,0.0,1727877599999,0,0,0,0,0,2024-10-02 13:00:00,WIFUSDT
1727877600000,2.37,2.37,2.32,2.32,4430.3,1727881199999,10279.07600000,2,0,0,0,2024-10-02 14:00:00,WIFUSDT
1727881200000,2.32,2.32,2.32,2.32,13.6,1727884799999,31.55200000,4,10.2,23.66400000,0,2024-10-02 15:00:00,WIFUSDT
1727884800000,2.32,2.32,2.32,2.32,0.0,1727888399999,0,0,0,0,0,2024-10-02 16:00:00,WIFUSDT
1727888400000,2.32,2.32,2.32,2.32,0.0,1727891999999,0,0,0,0,0,2024-10-02 17:00:00,WIFUSDT
1727892000000,2.32,2.32,2.32,2.32,0.0,1727895599999,0,0,0,0,0,2024-10-02 18:00:00,WIFUSDT
1727895600000,2.32,2.32,2.32,2.32,0.0,1727899199999,0,0,0,0,0,2024-10-02 19:00:00,WIFUSDT
1727899200000,2.32,2.32,2.32,2.32,0.0,1727902799999,0,0,0,0,0,2024-10-02 20:00:00,WIFUSDT
1727902800000,2.32,2.32,2.32,2.32,0.0,1727906399999,0,0,0,0,0,2024-10-02 21:00:00,WIFUSDT
1727906400000,2.32,2.32,2.32,2.32,0.0,1727909999999,0,0,0,0,0,2024-10-02 22:00:00,WIFUSDT
1727910000000,2.32,2.32,2.32,2.32,0.0,1727913599999,0,0,0,0,0,2024-10-02 23:00:00,WIFUSDT
1727913600000,2.32,2.32,2.32,2.32,0.0,1727917199999,0,0,0,0,0,2024-10-03 00:00:00,WIFUSDT
1727917200000,2.32,2.32,2.32,2.32,0.0,1727920799999,0,0,0,0,0,2024-10-03 01:00:00,WIFUSDT
1727920800000,2.192,2.192,2.192,2.192,435.3,1727924399999,954.17760000,2,435.3,954.17760000,0,2024-10-03 02:00:00,WIFUSDT
1727924400000,2.192,2.192,2.192,2.192,0.0,1727927999999,0,0,0,0,0,2024-10-03 03:00:00,WIFUSDT
1727928000000,2.192,2.32,2.192,2.32,3974.8,1727931599999,9181.08800000,3,3974.8,9181.08800000,0,2024-10-03 04:00:00,WIFUSDT
1727931600000,2.32,2.32,2.32,2.32,0.0,1727935199999,0,0,0,0,0,2024-10-03 05:00:00,WIFUSDT
1727935200000,2.32,2.32,2.32,2.32,0.0,1727938799999,0,0,0,0,0,2024-10-03 06:00:00,WIFUSDT
1727938800000,2.32,2.32,2.32,2.32,0.0,1727942399999,0,0,0,0,0,2024-10-03 07:00:00,WIFUSDT
1727942400000,2.32,2.32,2.32,2.32,0.0,1727945999999,0,0,0,0,0,2024-10-03 08:00:00,WIFUSDT
1727946000000,2.32,2.32,2.32,2.32,0.0,1727949599999,0,0,0,0,0,2024-10-03 09:00:00,WIFUSDT
1727949600000,2.32,2.32,2.32,2.32,1037.7,1727953199999,2407.46400000,3,1037.7,2407.46400000,0,2024-10-03 10:00:00,WIFUSDT
1727953200000,2.32,2.32,2.32,2.32,0.0,1727956799999,0,0,0,0,0,2024-10-03 11:00:00,WIFUSDT
1727956800000,2.32,2.32,2.32,2.32,0.0,1727960399999,0,0,0,0,0,2024-10-03 12:00:00,WIFUSDT
1727960400000,2.32,2.32,2.32,2.32,0.0,1727963999999,0,0,0,0,0,2024-10-03 13:00:00,WIFUSDT
1727964000000,2.32,2.32,2.32,2.32,0.0,1727967599999,0,0,0,0,0,2024-10-03 14:00:00,WIFUSDT
1727967600000,2.32,2.32,2.32,2.32,0.0,1727971199999,0,0,0,0,0,2024-10-03 15:00:00,WIFUSDT
1727971200000,2.32,2.32,2.32,2.32,0.0,1727974799999,0,0,0,0,0,2024-10-03 16:00:00,WIFUSDT
1727974800000,2.32,2.32,2.32,2.32,0.0,1727978399999,0,0,0,0,0,2024-10-03 17:00:00,WIFUSDT
1727978400000,2.32,2.32,2.32,2.32,0.0,1727981999999,0,0,0,0,0,2024-10-03 18:00:00,WIFUSDT
1727982000000,2.32,2.32,2.32,2.32,0.0,1727985599999,0,0,0,0,0,2024-10-03 19:00:00,WIFUSDT
1727985600000,2.32,2.32,2.32,2.32,0.0,1727989199999,0,0,0,0,0,2024-10-03 20:00:00,WIFUSDT
1727989200000,2.32,2.32,2.32,2.32,413.5,1727992799999,959.32000000,3,413.5,959.32000000,0,2024-10-03 21:00:00,WIFUSDT
1727992800000,2.32,2.32,2.32,2.32,0.0,1727996399999,0,0,0,0,0,2024-10-03 22:00:00,WIFUSDT
1727996400000,2.32,2.32,2.32,2.32,0.0,1727999999999,0,0,0,0,0,2024-10-03 23:00:00,WIFUSDT
1728000000000,2.32,2.32,2.32,2.32,0.0,1728003599999,0,0,0,0,0,2024-10-04 00:00:00,WIFUSDT
1728003600000,2.32,2.32,2.32,2.32,0.0,1728007199999,0,0,0,0,0,2024-10-04 01:00:00,WIFUSDT
1728007200000,2.32,2.32,2.32,2.32,8247.0,1728010799999,19133.04000000,1,8247.0,19133.04000000,0,2024-10-04 02:00:00,WIFUSDT
1728010800000,2.32,2.32,2.32,2.32,0.0,1728014399999,0,0,0,0,0,2024-10-04 03:00:00,WIFUSDT
1728014400000,2.32,2.32,2.32,2.32,0.0,1728017999999,0,0,0,0,0,2024-10-04 04:00:00,WIFUSDT
